category,ntail-moses,canneal
runtime,75.81862902641296,105.32301139831543
llc_references,26486368.254189942,41605335.361445785
llc_misses,14969476.55027933,24894145.120481927
instructions,1062865305.9078212,1265251090.361446
cycles,819317788.7290503,4978008678.644579
stall_cycles,362796013.7430168,4159188631.7269077
intra_coh,542088.7709497206,103747.83132530122
inter_coh,38.184357541899445,0.09036144578313253
wall_cycles,2105443819.0921786,2150647570.02008
llc_size,178285379.2178771,80017087.22891566
local_mem,1495074781.6759777,1971971002.0883534
remote_mem,16542348.156424582,3042554.859437751
