category,GpuKMeansBatchGpu,GpuKMeansBatchCpu
runtime,152.39354586601257,210.49091982841492
llc_references,111619319.17763157,88893501.86666666
llc_misses,763483954.1973684,826543302.4666667
instructions,1745774787.9605262,1884815442.152381
cycles,3788075162.4276314,3151601218.9809523
gpu_core_util,0.6052631578947368,0.14761904761904762
gpu_core_freq,1122.0,1122.0
gpu_emc_util,6.203947368421052,5.352380952380952
gpu_emc_freq,1600.0,1600.0
