category,ntail-masstree,bodytrack
runtime,32.022481203079224,52.754730463027954
llc_references,7344409.460431655,26570148.76569038
llc_misses,1284754.3884892086,1218804.8744769874
instructions,362580426.294964,15042364707.280334
cycles,678250628.0215826,6555905617.949791
stall_cycles,364437201.6906475,605956477.6987448
intra_coh,780613.8848920864,3831668.514644352
inter_coh,76.69064748201438,0.3556485355648536
wall_cycles,2108830317.877698,2205092537.5104604
llc_size,155966250.3597122,108859683.34728034
local_mem,119009132.6618705,53612012.719665274
remote_mem,516272.8057553957,268725.0209205021
