category,ntail-xapian,CG
runtime,50.26310324668884,95.81434679031372
llc_references,35386050.43478261,793701164.7598253
llc_misses,12064408.52173913,148989547.45633188
instructions,3945557226.978261,7454691522.194324
cycles,2855860648.152174,16218326873.449781
stall_cycles,1029402783.4347826,11620198342.292576
intra_coh,45236.04347826087,338725.94978165935
inter_coh,35.891304347826086,0.010917030567685589
wall_cycles,2107881889.2391303,2104048828.0131004
llc_size,69602081.39130434,173663245.41484717
local_mem,3353096726.2608695,9267976630.21834
remote_mem,8206246.956521739,18702085.58951965
