category,ntail-xapian,UA
runtime,51.987128496170044,186.94236660003662
llc_references,35464386.11344538,244656621.3263041
llc_misses,11224381.638655461,162843060.59933406
instructions,3950394044.1386557,21349884468.39623
cycles,2610426894.285714,15004561330.887901
stall_cycles,782373268.5294117,5498082699.350721
intra_coh,41700.63025210083,307045.2386237514
inter_coh,90.44117647058825,0.0776914539400666
wall_cycles,2109123739.747899,2128709190.8324084
llc_size,168759330.42016807,162863870.01109877
local_mem,301191615.4621849,17101176231.92009
remote_mem,4390636.638655462,57972811.009988904
