category,ssd-eval-vgg-cpu-large,ssd-train-vgg-gpu
runtime,146.18374824523926,438.78216218948364
llc_references,93353901.70646068,22173656.542056073
llc_misses,4469312.457865168,2756346.4415887846
instructions,4681001701.867977,397452508.75934577
cycles,3920463130.59691,511911925.4813084
gpu_core_util,450.48455056179773,471.51869158878503
gpu_core_freq,6500.0,6500.0
gpu_emc_util,127.71769662921349,131.87850467289718
gpu_emc_freq,9330.0,9330.0
