category,alexnet-eval-gpu,alexnet-train-cpu
runtime,21.13869571685791,76.74823784828186
llc_references,70484963.21782178,51639987.211796254
llc_misses,11477545.148514852,9610898.954423593
instructions,2085404803.4653463,4379241095.9249325
cycles,2438303275.891089,3919749920.3485255
gpu_core_util,128.46534653465346,33.88739946380697
gpu_core_freq,6500.0,6500.0
gpu_emc_util,60.34653465346534,23.726541554959788
gpu_emc_freq,9330.0,9330.0
