category,ssd-eval-vgg-cpu-medium,ssd-train-vgg-gpu
runtime,165.2025065422058,411.4278438091278
llc_references,91270577.29813665,18464352.035376184
llc_misses,3945095.819875777,2630242.301943199
instructions,4374029723.763975,388121465.488291
cycles,3704608831.310559,430651477.2745391
gpu_core_util,462.3726708074534,476.3452914798206
gpu_core_freq,6500.0,6500.0
gpu_emc_util,114.7888198757764,117.87992027902342
gpu_emc_freq,9330.0,9330.0
