category,ntail-sphinx,SP
runtime,29.13295316696167,44.69837522506714
llc_references,252961260.72580647,60925280.02463054
llc_misses,56279126.895161286,48712348.07881773
instructions,10977821303.30645,2623737088.5467978
cycles,11710350187.5,1421928300.5418718
stall_cycles,5538022802.056452,430538076.00985223
intra_coh,13494.516129032258,1514.4088669950738
inter_coh,1.25,0.0
wall_cycles,2116740020.8064518,2108877497.955665
llc_size,184137661.93548387,41599218.12807882
local_mem,3521775153.5483875,4659532119.014778
remote_mem,11645852.903225806,11677030.147783251
