category,GpuKMeansBatchGpu
runtime,45.467466831207275
r016,168653811.4
r013,1380382036.511111
instructions,3141453393.6666665
cycles,5549534373.488889
gr3d,0.0
gr3d_freq,1300.0
emc,3.422222222222222
emc_freq,1866.0
