category,ntail-sphinx,facesim
runtime,32.84015464782715,101.61520600318909
llc_references,260431075.0,150391334.44906446
llc_misses,50118521.76056339,30665959.532224532
instructions,11284731237.570421,22912297309.428272
cycles,12292890753.415493,9445044533.180874
stall_cycles,5942137888.908451,1764596983.1496882
intra_coh,10154.295774647888,2638483.2744282745
inter_coh,3.591549295774648,1.340956340956341
wall_cycles,2113629446.725352,2152756081.6943865
llc_size,198264860.84507042,152060551.18503118
local_mem,1907875263.0985916,1819285491.2266111
remote_mem,5732092.394366197,7972638.336798336
