category,ssd-train-vgg-cpu,ssd-eval-vgg-gpu-dynamic,GpuKMeansBatchCpu
runtime,106.12526488304138,114.82595443725586,405.1813554763794
llc_references,89344793.08823529,48704503.722826086,37550796.421717174
llc_misses,5801151.44117647,5961596.947463769,8156473.436868686
instructions,4458210166.313725,353489599.6286232,2503144715.020202
cycles,3735030476.2843137,1155298057.844203,2111092804.2651515
gpu_core_util,144.05882352941177,148.18840579710144,43.391414141414145
gpu_core_freq,6500.0,6500.0,6500.0
gpu_emc_util,37.490196078431374,38.052536231884055,14.512626262626263
gpu_emc_freq,9330.0,9330.0,9330.0
