category,ntail-img-dnn,canneal
runtime,77.06160020828247,91.35494923591614
llc_references,161525285.87016577,69128077.02970298
llc_misses,9658710.138121547,41300949.95049505
instructions,4475756116.464088,2077447817.4752474
cycles,2210103015.497237,8549305924.389439
stall_cycles,346183883.480663,7205919738.10231
intra_coh,316752.6104972376,224048.54785478546
inter_coh,107.01657458563537,0.0165016501650165
wall_cycles,2105279551.6298342,3054168498.432343
llc_size,98165505.41436464,135565433.66336635
local_mem,679282450.3867402,3122746060.462046
remote_mem,1922630.7182320443,26041367.656765677
