category,ssd-train-vgg-gpu,ssd-eval-vgg-cpu-small
runtime,189.08519220352173,228.4558560848236
llc_references,23566183.345986985,92781713.78366248
llc_misses,3208884.734273319,4115525.2064631954
instructions,403729452.4403471,4545604627.841113
cycles,570909384.7071583,3801294188.1238775
gpu_core_util,453.4056399132321,376.36445242369837
gpu_core_freq,6500.0,6500.0
gpu_emc_util,129.24620390455533,107.61669658886895
gpu_emc_freq,9330.0,9330.0
