category,ntail-sphinx,bodytrack
runtime,32.24462914466858,52.10220193862915
llc_references,258849363.20143884,27256880.783898305
llc_misses,53051588.30935252,1591997.8177966103
instructions,11188123698.848919,15209488339.152544
cycles,12491918972.194244,6618645277.372881
stall_cycles,6170822368.201439,607607935.1271187
intra_coh,9712.48201438849,3827365.7838983047
inter_coh,3.41726618705036,0.4661016949152542
wall_cycles,2115475286.942446,2208310793.7076273
llc_size,197310508.20143884,91265822.37288135
local_mem,1462148235.971223,93910866.44067796
remote_mem,4731322.01438849,2815826.440677966
