category,ntail-sphinx,streamcluster
runtime,31.352104663848877,105.24564218521118
llc_references,255008781.0447761,224708596.23742455
llc_misses,60270779.21641791,171364314.1448692
instructions,11078506005.820896,9864714712.48491
cycles,13143795153.507462,13050936442.21328
stall_cycles,6866507441.567164,8184040220.231389
intra_coh,13069.4776119403,12356702.08249497
inter_coh,3.8059701492537314,0.3822937625754527
wall_cycles,2116890607.7611942,2152523135.050302
llc_size,190492121.79104477,161480967.72635815
local_mem,1220996814.3283582,11042709190.82495
remote_mem,4281848.358208955,25931553.480885312
