category,ssd-eval-vgg-gpu-dynamic,GpuKMeansBatchCpu
runtime,102.23866319656372,124.05870008468628
llc_references,55573315.94129555,71044631.55315614
llc_misses,7220806.791497976,15558507.167774087
instructions,425567695.5870445,2065779667.6079736
cycles,1360269058.5323887,2598677985.19103
gpu_core_util,183.2591093117409,151.61960132890366
gpu_core_freq,6500.0,6500.0
gpu_emc_util,47.25708502024291,41.58637873754153
gpu_emc_freq,9330.0,9330.0
