category,kmeans,ntail-img-dnn
runtime,43.0442841053009,77.07571196556091
llc_references,173347396.8974359,161567266.90607733
llc_misses,18885271.384615384,9355410.46961326
instructions,13605457043.666666,4476273515.151934
cycles,9154616155.564102,2218195518.3425417
stall_cycles,3439843097.74359,322262199.0469613
intra_coh,118628587.71794872,262364.95856353594
inter_coh,1.5384615384615385,55.45580110497237
wall_cycles,2108604172.2307692,2105054452.3895028
llc_size,120298889.84615386,87830007.51381215
local_mem,1301973464.6153846,49634468.06629835
remote_mem,2166048.8205128205,500571.93370165746
