category,nn,cfd
runtime,46.078739404678345,159.55221724510193
llc_references,24379126.18942731,23923394.143576827
llc_misses,1693144.0528634363,13311015.780856423
instructions,9085317171.497797,11714998218.690176
cycles,7077027668.171806,7091303838.65869
