category,ntail-masstree,CG
runtime,32.025572061538696,114.34290409088135
llc_references,7746061.762589928,670415248.7105751
llc_misses,1426235.3956834532,131408955.01855287
instructions,374670507.8417266,6304971785.667904
cycles,720761801.115108,16063500973.998144
stall_cycles,394024232.58992803,12080957778.90538
intra_coh,1168330.8633093527,1462796.6790352506
inter_coh,70.39568345323741,0.00927643784786642
wall_cycles,2114967878.7050362,2147947757.690167
llc_size,169254970.93525177,166271762.5231911
local_mem,229873413.52517986,8923238286.011131
remote_mem,2220680.287769784,14346790.94619666
