category,bodytrack,ntail-xapian
runtime,29.508713960647583,52.83240509033203
llc_references,45636474.57142857,35336478.69747899
llc_misses,2319798.8571428573,11220090.546218488
instructions,26272577993.178574,3968710135.147059
cycles,11466696194.071428,2599189705.609244
stall_cycles,1086678163.392857,763026637.4159664
intra_coh,7244099.321428571,43425.399159663866
inter_coh,0.2857142857142857,70.16806722689076
wall_cycles,2112597790.7857144,2107519660.4831934
llc_size,69330066.28571428,159386030.25210086
local_mem,166676772.57142857,88473600.0
remote_mem,1413705.1428571427,620939.8319327731
