category,ntail-sphinx,swaptions
runtime,27.164120197296143,29.866401433944702
llc_references,257562413.30434784,878874.1176470589
llc_misses,65891100.56521739,267424.1176470588
instructions,11186244609.478262,3697117939.1176467
cycles,12361155747.086956,1640610407.647059
stall_cycles,6068581018.043479,198869683.2352941
intra_coh,15919.434782608696,45981.17647058824
inter_coh,3.6521739130434785,0.0
wall_cycles,2119599145.4347825,2224689191.470588
llc_size,191989136.69565216,1638400.0
local_mem,4485409213.217391,12124160.0
remote_mem,15757133.913043479,96376.4705882353
