category,SparkDSLRGpu,GpuKMeansBatchGpu
runtime,45.49825358390808,58.34291982650757
llc_references,100404304.71111111,105850784.63793103
llc_misses,768167344.6,844859960.8448275
instructions,1765117156.0666666,1935862766.3793104
cycles,3526361806.577778,3659679211.62069
gpu_core_util,0.0,0.8103448275862069
gpu_core_freq,1122.0,1122.0
gpu_emc_util,5.377777777777778,5.137931034482759
gpu_emc_freq,1600.0,1600.0
