category,ferret
runtime,62.000231981277466
llc_references,126077440.86885245
llc_misses,46404440.42622951
instructions,24794606337.86885
cycles,16528578470.836065
stall_cycles,4588527057.983606
intra_coh,94221.59016393444
inter_coh,0.049180327868852465
wall_cycles,2107534108.7704918
llc_size,299746.62295081967
local_mem,323382.5573770492
remote_mem,1074.360655737705
