category,"SP_BE_core(8,9,10,11,12,13,14,15)","SP_LC_core(0,1,2,3,4,5,6,7)"
runtime,297.42156624794006,297.3084228038788
llc_references,379757308.43601894,379357773.03317535
llc_misses,228331719.32633716,227970687.2985782
instructions,13697968727.637102,13703622603.710222
cycles,16280600444.488829,16285246119.77319
stall_cycles,10589496215.605957,10587112397.301964
intra_coh,41593.991198375086,40157.552471225456
inter_coh,0.23019634394041977,0.2742044685172647
wall_cycles,2102145648.0027082,2102234035.589032
llc_size,99626922.03114422,110445242.84360188
local_mem,21098794284.197697,23369625336.547054
remote_mem,46111697.54908599,65134664.10291131
