category,GpuKMeansBatchGpu
runtime,52.43491840362549
r016,97300195.1923077
r013,789541041.4807693
instructions,1840770334.6346154
cycles,2964531637.1923075
gr3d,0.17307692307692307
gr3d_freq,1300.0
emc,2.269230769230769
emc_freq,1866.0
