category,SP,UA
runtime,198.53121948242188,206.39393162727356
llc_references,529134176.9004065,219265415.5419922
llc_misses,302254453.6026423,147515466.86523438
instructions,20523419385.802845,19011533810.742188
cycles,16284357074.380081,15960366956.166992
stall_cycles,8167187204.33943,7472426426.68457
intra_coh,50569.22764227642,287515.1806640625
inter_coh,0.02540650406504065,0.0732421875
wall_cycles,2102537977.9471543,2102584047.265625
llc_size,146513920.0,68435200.0
local_mem,22020859587.64228,12461953920.0
remote_mem,57820201.62601627,96238400.0
