category,ntail-moses,bfs
runtime,75.8749053478241,143.24303340911865
llc_references,26630637.24860335,3766575.0867052022
llc_misses,16289217.136871507,3346978.540462428
instructions,1055642227.0111732,2767400893.4393067
cycles,842082547.8491621,1145192477.3699422
stall_cycles,382835512.22067034,184445224.10404623
intra_coh,546327.3743016759,80040.6936416185
inter_coh,74.58100558659217,0.028901734104046242
wall_cycles,2105164741.955307,4222497149.190751
llc_size,183648164.46927375,10669488.09248555
local_mem,1255509581.2290504,303144723.2369942
remote_mem,12006085.363128493,581489.9421965318
