category,ntail-sphinx,SP
runtime,26.316312313079834,72.64717173576355
llc_references,255071729.8648649,66686614.154518954
llc_misses,77862200.58558558,46092711.865889214
instructions,11130788543.873873,2795139712.653061
cycles,13118399590.945946,1570816923.2361517
stall_cycles,6836646767.387388,504861120.94752187
intra_coh,22954.00900900901,2220.33527696793
inter_coh,1.981981981981982,0.014577259475218658
wall_cycles,2119074116.7567568,2105001443.148688
llc_size,154901125.7657658,94688055.97667637
local_mem,4833032025.945946,4271546678.483965
remote_mem,10659932.252252253,11207993.469387757
