category,ntail-xapian,CG
runtime,51.3310923576355,131.5951805114746
llc_references,35654512.127659574,577615602.656
llc_misses,11315225.808510639,108779310.37599999
instructions,3944801143.1702127,5468258271.32
cycles,2631750281.425532,13760764254.776001
stall_cycles,798130933.1276596,10299323810.52
intra_coh,42942.19148936171,263234.008
inter_coh,86.63829787234043,0.064
wall_cycles,2108378061.1489363,2141546797.688
llc_size,144502696.85106385,154320502.784
local_mem,385259650.7234043,6229804974.08
remote_mem,1362312.170212766,12745441.280000001
