category,ntail-img-dnn,GpuKMeansBatchCpu
runtime,39.85315990447998,45.621670961380005
llc_references,198225503.0172414,101205997.98122065
llc_misses,45977222.95977011,21412910.821596242
instructions,1866705498.678161,1741141329.0140846
cycles,3661867476.0057473,3818294574.2488265
gpu_core_util,0.5172413793103449,0.4225352112676056
gpu_core_freq,6500.0,6500.0
gpu_emc_util,48.2183908045977,43.49765258215962
gpu_emc_freq,9330.0,9330.0
