category,ntail-sphinx,UA
runtime,23.019975662231445,165.22070264816284
llc_references,252892103.36956525,269073337.69900495
llc_misses,113267057.55434783,187047494.4216418
instructions,10620179457.173912,23865842524.689056
cycles,16293696486.413042,15903155507.524876
stall_cycles,10237305461.086956,5408034300.124378
intra_coh,43407.77173913043,364822.2450248756
inter_coh,1.1956521739130435,0.06218905472636816
wall_cycles,2122639890.923913,2102731216.5422888
llc_size,116971074.78260869,195382460.49751246
local_mem,6753466991.304348,15227984493.532337
remote_mem,17637732.173913043,80094528.95522387
