category,ferret,SP
runtime,68.85647392272949,148.69063091278076
llc_references,116687304.33234422,685829173.9589041
llc_misses,62834737.24035609,372890029.36986303
instructions,22299048462.299706,27611941555.80822
cycles,16382338108.24926,16288035849.561644
stall_cycles,5981640787.359051,5646409000.082191
intra_coh,349143.6498516321,40262.75342465754
inter_coh,0.3115727002967359,0.0273972602739726
wall_cycles,2110134295.9940653,2103291516.0342467
llc_size,18375360.949554894,200710284.27397257
local_mem,1958749496.9732938,24435974256.219177
remote_mem,122182829.19881305,57963898.73972603
