category,SparkGPULRGpu
runtime,27.467143774032593
r016,170181475.74074075
r013,1392758089.925926
instructions,3208284625.851852
cycles,5475093504.037037
gr3d,0.0
gr3d_freq,1300.0
emc,2.7777777777777777
emc_freq,1866.0
