category,GpuKMeansGpu
runtime,173.74252581596375
r016,41503038.85465116
r013,330108832.7093023
instructions,753887462.0406977
cycles,958465573.7790698
gr3d,0.21511627906976744
gr3d_freq,1300.0
emc,0.436046511627907
emc_freq,1866.0
