category,ntail-masstree,UA
runtime,32.086344480514526,168.5098237991333
llc_references,7845881.870503597,272879114.87639064
llc_misses,1391819.712230216,181888653.7948084
instructions,376976216.4388489,23761486153.906055
cycles,745255503.1294965,16759440761.01978
stall_cycles,413320957.08633095,6202842324.901113
intra_coh,1253515.9352517985,351674.96291718166
inter_coh,68.23741007194245,0.11742892459826947
wall_cycles,2115767155.1079135,2132018823.1644006
llc_size,175754350.5035971,179353967.07045734
local_mem,184057148.7769784,19660855490.92707
remote_mem,1372012.6618705036,51254579.57972806
