category,SparkGPULRCpu,GpuKMeansBatchGpu
runtime,35.388301372528076,60.87439012527466
llc_references,105029144.11764705,109375020.11824325
llc_misses,856330495.2647059,877424629.9493243
instructions,1996516511.147059,2024192695.9797297
cycles,3712175711.0294113,3683209331.7736487
gpu_core_util,0.7647058823529412,7.027027027027027
gpu_core_freq,5610.0,5610.0
gpu_emc_util,26.676470588235293,22.989864864864863
gpu_emc_freq,8000.0,8000.0
