category,ntail-sphinx,canneal
runtime,34.02989840507507,74.38639426231384
llc_references,263150120.4391892,60507438.575581394
llc_misses,48294607.0945946,35619237.616279066
instructions,11392357927.668919,1826791435.8575583
cycles,12194201672.837837,7169464575.770349
stall_cycles,5773584240.6081085,5985595516.438953
intra_coh,9353.04054054054,157996.07558139536
inter_coh,4.155405405405405,0.014534883720930232
wall_cycles,2113587628.9864864,2173009219.912791
llc_size,196612428.1081081,128951605.58139534
local_mem,2613971995.6756754,2844392900.4651165
remote_mem,7784614.054054054,2444264.186046512
