category,ntail-sphinx,cfd
runtime,32.03099989891052,76.15301275253296
llc_references,258719000.647482,74609972.15877438
llc_misses,53101036.258992806,15383559.206128135
instructions,11166052009.388489,26174097291.65738
cycles,12489811319.820145,13441083614.150417
stall_cycles,6186519709.568346,2163319270.8356547
intra_coh,9326.54676258993,819848.7186629525
inter_coh,3.741007194244604,0.06963788300835655
wall_cycles,2114271497.7338128,2170473733.3426185
llc_size,195368002.3021583,90503573.0362117
local_mem,1501149228.201439,227688311.08635098
remote_mem,4941131.510791367,637104.8467966574
