category,ntail-sphinx,canneal
runtime,27.958431720733643,45.46183633804321
llc_references,257067047.68907562,13011619.535519127
llc_misses,63409965.37815125,6849332.786885247
instructions,11197881161.638657,839396558.0874317
cycles,12135049349.243698,1659674576.7486339
stall_cycles,5835323955.92437,1195822993.4153006
intra_coh,16764.243697478993,0.0273224043715847
inter_coh,1.6806722689075633,0.0
wall_cycles,2117800723.2352943,2407704373.6338797
llc_size,175942131.09243697,39255347.75956284
local_mem,4413929454.789916,581408174.863388
remote_mem,18080225.88235294,3430791.693989071
