category,ntail-sphinx,bfs
runtime,27.564297914505005,45.34603977203369
llc_references,253103919.05982906,6365610.833333334
llc_misses,74207006.15384614,3800627.009803922
instructions,10965227817.777777,4877862749.509804
cycles,12675042924.871796,2023309711.6421568
stall_cycles,6483015052.435898,342800691.74019605
intra_coh,17735.982905982906,94070.19607843139
inter_coh,1.794871794871795,10.53921568627451
wall_cycles,2117147998.4615386,2107453925.759804
llc_size,162890568.2051282,68099614.11764705
local_mem,4258854159.3162394,319830136.4705882
remote_mem,23497736.752136752,1824727.843137255
