category,kmeans,ntail-xapian
runtime,27.17059564590454,52.7083785533905
llc_references,723985.7211538461,35449939.79338843
llc_misses,387069.80769230763,11220863.243801652
instructions,3179925643.4134617,3956423485.681818
cycles,1630856012.2596154,2594825046.053719
stall_cycles,352161239.375,763103478.6363636
intra_coh,0.19230769230769232,44909.07024793389
inter_coh,1.778846153846154,114.50413223140495
wall_cycles,2350382581.8269234,2109047555.8471074
llc_size,19827790.769230768,101217914.7107438
local_mem,154422350.76923075,24176555.371900827
remote_mem,4619027.692307692,1432584.4628099175
