category,ssd-eval-vgg-gpu-dynamic,GpuKMeansBatchCpu,ssd-train-vgg-cpu
runtime,95.5842342376709,318.23759269714355,562.7570009231567
llc_references,56628471.77947599,42661592.00386598,56669976.11131321
llc_misses,4940931.997816594,9669056.30798969,2938910.8730447437
instructions,450414085.20742357,1461054420.3543816,3334875125.185522
cycles,1245238293.2532752,1576975938.6855671,2687342272.737359
gpu_core_util,195.04366812227076,59.53930412371135,34.476173153874136
gpu_core_freq,6500.0,6500.0,6500.0
gpu_emc_util,41.68122270742358,22.197164948453608,13.388504910876682
gpu_emc_freq,9330.0,9330.0,9330.0
