category,ntail-img-dnn,facesim
runtime,75.33560967445374,79.02841377258301
llc_references,162922315.32763535,186960693.8372093
llc_misses,11860973.860398859,39902785.064599484
instructions,4507869299.415955,28516416624.819122
cycles,2288235456.054131,11700116528.346252
stall_cycles,409537111.49572647,2174298067.971576
intra_coh,646073.3048433049,3269702.0542635657
inter_coh,48.717948717948715,0.6459948320413436
wall_cycles,2104773387.5071225,2104495283.3333335
llc_size,77155103.36182337,135473241.9638243
local_mem,902807878.7464387,2263072386.976744
remote_mem,9295469.401709402,10483219.84496124
