category,GpuKMeansGpu
runtime,42.46918797492981
r016,165108966.83333334
r013,1329347631.1666667
instructions,3026843753.404762
cycles,5373437263.690476
gr3d,0.0
gr3d_freq,140.0
emc,3.142857142857143
emc_freq,1866.0
