category,swaptions,ntail-xapian
runtime,42.569257974624634,53.300347089767456
llc_references,8626685.853658536,35375929.8553719
llc_misses,163451.07317073172,11297122.747933883
instructions,35332015144.02439,3949151230.0206614
cycles,15544877760.341463,2570312353.987603
stall_cycles,1805592287.4634147,740326502.5619835
intra_coh,4434868.731707317,42152.4173553719
inter_coh,0.24390243902439024,60.20661157024794
wall_cycles,2108698763.487805,2107203752.1280992
llc_size,2678983.8048780486,94442250.5785124
local_mem,265340.8780487805,16790214.87603306
remote_mem,537075.512195122,444128.2644628099
