category,cfd,ntail-moses
runtime,64.7654025554657,76.1108570098877
llc_references,90434702.47524753,26492276.815642457
llc_misses,26907114.389438946,18881489.58100559
instructions,30345589212.062706,1065085785.7402235
cycles,15946504846.716173,813319353.6173184
stall_cycles,2912898988.333333,356052345.2094972
intra_coh,959761.6831683168,563316.8575418994
inter_coh,0.0,33.74301675977654
wall_cycles,2106705321.2046206,2105168999.9860334
llc_size,155865371.88118812,72815438.65921788
local_mem,5644557281.584158,2773254693.184357
remote_mem,36544430.89108911,32588599.776536316
