category,fluidanimate
runtime,68.52271294593811
llc_references,69004854.77810651
llc_misses,43278048.017751485
instructions,26886627117.115383
cycles,15162177249.378698
stall_cycles,3362059592.4852076
intra_coh,4318725.118343195
inter_coh,0.044378698224852076
wall_cycles,2102760804.4378698
llc_size,207229485.44378698
local_mem,2898771677.1597633
remote_mem,14366538.22485207
