category,ntail-img-dnn,bodytrack
runtime,76.59811544418335,81.05639815330505
llc_references,163631836.67605633,18287146.742209632
llc_misses,9442600.830985915,1129494.164305949
instructions,4523222219.070423,10428937999.291784
cycles,2240808679.71831,4556030823.470255
stall_cycles,353802048.6619718,434721674.5609065
intra_coh,304600.09859154926,2507527.3512747874
inter_coh,105.64788732394365,0.11331444759206799
wall_cycles,2104897165.943662,2368723597.492918
llc_size,83068264.56338029,104218020.62322946
local_mem,4771205.408450704,56201297.22379603
remote_mem,515057.5774647887,607089.8583569406
