category,ntail-moses,UA
runtime,75.90616774559021,164.9915452003479
llc_references,27106414.148044694,270523687.5891759
llc_misses,20822253.798882682,187460225.24600244
instructions,1086834399.4692736,23942265402.08487
cycles,945912324.8324022,15904854278.98524
stall_cycles,479023031.04748607,5381451050.110702
intra_coh,646391.7458100559,372402.6998769987
inter_coh,22.54189944134078,0.15990159901599016
wall_cycles,2105125442.0949721,2102677599.0159903
llc_size,44835410.949720666,189013320.7380074
local_mem,2266255932.067039,20796434892.98893
remote_mem,44414369.608938545,87775919.70479704
