category,SparkDSLRCpu,GpuKMeansBatchCpu
runtime,39.338276863098145,122.46151685714722
llc_references,99224316.8974359,67264927.69672132
llc_misses,770712741.4615384,886919061.9918033
instructions,1763859976.6666667,2046606578.5655737
cycles,3508394109.5897436,2575594900.5819674
gpu_core_util,0.10256410256410256,0.09016393442622951
gpu_core_freq,1122.0,1122.0
gpu_emc_util,5.256410256410256,3.860655737704918
gpu_emc_freq,1600.0,1600.0
