category,ntail-img-dnn,fluidanimate
runtime,75.09640836715698,128.01671934127808
llc_references,161961516.3700565,38266037.8396072
llc_misses,9397426.652542373,26707485.376432076
instructions,4475559388.206215,14565466162.635023
cycles,2265540909.435028,8537546402.733225
stall_cycles,366974784.4491526,2089763189.5008183
intra_coh,260046.49717514124,1983284.5090016369
inter_coh,86.87853107344634,0.1391162029459902
wall_cycles,2107062927.8107345,2142690399.4762683
llc_size,99155597.74011299,120422131.84942716
local_mem,18408395.93220339,2200416785.597381
remote_mem,830307.7966101695,9698469.91816694
