category,CG
runtime,91.9336633682251
llc_references,802412595.407489
llc_misses,151488419.4273128
instructions,8463723809.515419
cycles,16309803291.409693
stall_cycles,11400701526.662996
intra_coh,344920.3964757709
inter_coh,0.05506607929515419
wall_cycles,2102982007.709251
llc_size,199947593.30396476
local_mem,9760663344.493391
remote_mem,11653571.101321585
