category,ntail-masstree,swaptions
runtime,32.15688872337341,42.21645450592041
llc_references,6826787.810218978,15102167.315270936
llc_misses,1099168.7226277373,104185.29556650246
instructions,321581967.00729924,35638333909.039406
cycles,606321994.7445256,15748862817.733992
stall_cycles,315414444.4890511,1887798984.187192
intra_coh,644212.2262773722,11585382.192118226
inter_coh,38.613138686131386,0.5665024630541872
wall_cycles,2115014607.3722627,2110315223.8669949
llc_size,187385123.50364965,4337320.985221675
local_mem,94744964.67153284,397090.04926108377
remote_mem,863448.7591240875,92008.66995073891
