category,ntail-moses,fluidanimate
runtime,75.93075633049011,129.81914067268372
llc_references,26617764.525139667,34804940.16935484
llc_misses,15420416.997206705,25331355.20967742
instructions,1073814920.23743,14342244806.67742
cycles,845689822.5418994,8331752135.362903
stall_cycles,381118535.46089387,2004244407.596774
intra_coh,580709.0363128491,1941871.3064516129
inter_coh,46.201117318435756,0.06451612903225806
wall_cycles,2104997370.3910613,2141296655.7822583
llc_size,188458104.1340782,102058578.58064516
local_mem,1036438110.3910614,1810896037.1612904
remote_mem,12588220.782122906,11952392.258064516
