category,bfs,ntail-xapian
runtime,40.04863524436951,53.25394582748413
llc_references,7778193.722222223,35379166.8367347
llc_misses,3478006.722222222,11270216.040816326
instructions,5409495731.5,3955578163.102041
cycles,2384249725.0,2576162448.979592
stall_cycles,505962877.5,747332364.0816326
intra_coh,598262.1666666666,39478.897959183676
inter_coh,1.6388888888888888,56.83673469387755
wall_cycles,2107856601.1666667,2106951872.6938775
llc_size,65059043.55555556,125715435.10204083
local_mem,348034389.3333333,74145290.4489796
remote_mem,1489123.5555555555,498876.0816326531
