llc_references,llc_misses,instructions,cycles
4801968,308455,1865674182,1437773345
4817326,306557,1857438705,1438243504
4828531,307291,1860018193,1437529611
4804315,306689,1865757594,1437439556
4753419,302649,1856989700,1437388633
4816908,307510,1865575896,1437441127
4808946,304959,1869975760,1437445191
4808020,304409,1869044616,1437165586
4828775,306799,1869279121,1437440486
4803674,304634,1866319268,1437113832
4780145,304076,1864467402,1437439839
4781974,302878,1862845607,1437383225
4777583,303633,1862265376,1437466847
4817781,306808,1866647439,1437460114
4824880,306192,1863680667,1437563430
4832953,304764,1859517285,1437481767
4809272,304160,1858579414,1437501328
4806635,305737,1861133205,1437148272
4795190,302366,1856153285,1437502716
4828848,304236,1847422695,1437055943
4807535,300993,1850326012,1437332894
4796650,304308,1857110435,1437438187
4829530,301797,1850654442,1437441468
4796826,302117,1853783607,1437452785
4810327,304884,1855404615,1437454604
4831837,303742,1857936026,1437438125
4896001,306399,1850860226,1437416548
4842932,308629,1860219475,1437067844
4827535,305067,1857476634,1437465008
4847262,308030,1858598890,1437112012
4832477,305240,1858002046,1437425722
4887224,304136,1849831222,1437379457
4843244,308676,1862252810,1437432640
4840968,309788,1862178174,1437440663
4844351,309819,1862095890,1437462750
4839002,307896,1858699551,1437434843
4880477,304351,1852280329,1437450569
4860960,303504,1851867176,1437098388
4838626,306284,1861503430,1437448672
4832222,306383,1856932134,1437079490
4845210,304434,1856565198,1437444995
4833999,304798,1859312715,1437449197
4835984,307848,1860536710,1437434378
4848761,308990,1862147106,1437456422
4791707,302938,1843708578,1437320668
4835474,306133,1858516791,1437427976
4845325,303101,1855998010,1437427724
4831916,304043,1856387461,1437025787
4914809,301958,1841741806,1437459577
4840451,307641,1859758373,1437105329
4882762,303239,1848003365,1437344699
4869888,302559,1850314655,1437388933
4906788,305510,1848109759,1437432770
4859857,304861,1853173526,1437395322
4904527,307211,1846065489,1437423648
4873178,307495,1853241190,1437447884
4837405,308840,1858828187,1437409954
4864290,307555,1852609336,1437018915
4858879,305876,1855165575,1437371792
4859540,309600,1855789898,1437076982
4865956,308236,1855546538,1437306453
4857309,308041,1856403569,1437389620
4845696,308963,1860273536,1437428671
4870209,307660,1853138985,1437449767
4875562,306052,1848365005,1435760161
4864589,306562,1854649756,1437427214
4883291,306153,1850575959,1437366962
4809273,308655,1849855957,1437109408
4905367,305630,1848178191,1437519905
4840401,309276,1857580402,1437100152
4837373,306923,1857981870,1437254177
4865066,307206,1854311494,1437404566
4852750,307783,1856466791,1437418685
4836954,306513,1859377088,1437420924
4856172,306692,1854067953,1437452999
4867592,310189,1857664937,1437319746
4837907,307391,1858429655,1437423428
4860711,311027,1856805321,1437094917
4844912,307613,1859926920,1437450753
4860142,308668,1853854748,1437104791
4874570,308251,1853306678,1437445314
4835869,307966,1860871797,1437429371
4837186,308030,1858947052,1437317318
4836902,308282,1861590106,1437466625
4850317,307560,1856479779,1437430264
4890845,306850,1851966660,1437393850
4838831,308999,1859724879,1437415241
4869919,307170,1853721290,1437054660
4854758,306067,1854825928,1437433087
4899653,307996,1848715412,1437091590
4866981,306515,1852945751,1437363661
4841018,308497,1860085223,1437438990
4849086,306354,1856426948,1437428816
4882736,306999,1850538015,1437465698
4842037,307544,1858786177,1437387723
