category,ntail-xapian
runtime,51.37101340293884
llc_references,35313285.7838983
llc_misses,11160065.995762711
instructions,3952695126.038136
cycles,2607174137.7966104
stall_cycles,777327706.822034
intra_coh,47362.37288135593
inter_coh,89.8093220338983
wall_cycles,2104421587.605932
llc_size,118547959.3220339
local_mem,30188214.237288132
remote_mem,320737.6271186441
