category,ntail-masstree,bfs
runtime,32.07731509208679,40.18137526512146
llc_references,6985812.805755395,7904515.5
llc_misses,1325496.654676259,3231282.5833333335
instructions,334556122.7697842,5396453610.138888
cycles,619328839.9640287,2367692180.9722223
stall_cycles,323603757.37410074,492446961.2222222
intra_coh,728614.0287769784,616165.1111111111
inter_coh,40.899280575539564,0.5555555555555556
wall_cycles,2114779771.9784174,2109712355.4166665
llc_size,148325884.31654677,81188181.33333334
local_mem,125256269.35251799,333749361.7777778
remote_mem,1046690.071942446,1521891.5555555557
