category,bodytrack,ntail-img-dnn
runtime,29.34407877922058,77.24083948135376
llc_references,45962010.575539574,163634591.2011173
llc_misses,2128194.928057554,9470894.413407821
instructions,26416578640.863308,4528038552.444135
cycles,11519237406.258993,2222236477.094972
stall_cycles,1085951123.4532375,335908887.0810056
intra_coh,7671503.8848920865,308277.7094972067
inter_coh,0.39568345323741005,85.97765363128491
wall_cycles,2112908087.877698,2104766901.9692736
llc_size,110145270.7913669,68939112.40223464
local_mem,64534100.71942446,1153287.1508379888
remote_mem,855739.856115108,105260.33519553073
