category,ntail-sphinx,bfs
runtime,25.16294836997986,47.806278228759766
llc_references,259672561.68269232,6913658.645833334
llc_misses,90258995.38461538,3994718.59375
instructions,11251961803.653847,5160468610.182292
cycles,13904269256.201923,2144693200.625
stall_cycles,7519655004.038462,365332988.0729166
intra_coh,22739.951923076922,78940.05208333333
inter_coh,2.355769230769231,16.614583333333332
wall_cycles,2121073901.153846,2396891895.2604165
llc_size,155969378.46153846,73891840.0
local_mem,5509507544.615384,354187946.6666666
remote_mem,12552664.615384616,1012053.3333333333
