llc_references,llc_misses,instructions,cycles
217210,78642,1587592466,709302548
200283,84412,1608313969,718309519
196224,77898,1605249869,718184975
199304,77086,1604609317,717541313
2276837,1319233,1707303378,983240394
5589041,3510881,1879972784,1436904767
6156023,3767318,1989491006,1435885844
6101939,3808391,2037958102,1437006723
6187109,3844187,2047964658,1436235052
6214248,3854067,2049229907,1436347782
6207858,3863483,2055768630,1436480021
6239546,3869115,2054079574,1436070167
6353605,3901899,2053442148,1436706054
6146824,3828096,2050654477,1436081806
6268142,3872238,2057668644,1436937680
6182484,3856860,2056948949,1436232984
6144255,3812988,2054881143,1436200613
6043195,3727486,2044790673,1435335194
5780618,3603634,2045789011,1426173930
5532479,3411249,2013367462,1392287196
5271947,3251601,2029095274,1372055935
5084634,3156686,2076400201,1367900788
5022565,3120711,2174596554,1402484676
5004267,3119655,2286419908,1433820110
5050275,3101140,2357828388,1436566687
4985315,3121799,2381897734,1436511491
5056973,3101575,2374199268,1436403402
5116100,3151106,2376801999,1436924618
4914875,3082246,2382261037,1436093703
5059552,3109337,2375389256,1436833624
5046332,3126095,2381648182,1436569116
4993416,3097366,2379110153,1436259307
5009741,3119839,2382841795,1436844001
5091487,3111173,2373045065,1436188125
4945389,3109422,2387294509,1436843136
5057526,3109776,2375072824,1436695052
5104689,3136764,2372998622,1436305053
4922730,3091362,2384963359,1436538447
5057580,3109673,2373509651,1436273305
5029927,3117555,2381978763,1436761749
4995569,3098432,2380579781,1436720072
5008902,3115223,2382471044,1436473984
5086307,3112393,2375054924,1436886836
4950820,3114286,2384827488,1436279255
5048578,3104296,2376209423,1436924846
5092351,3126522,2373839219,1436810458
4948052,3103130,2385628615,1436314637
5052621,3110243,2374839862,1436896788
5028886,3115292,2381382107,1436259992
5002031,3098247,2379294118,1436466624
5007927,3119054,2380635669,1436263693
5086409,3108351,2374130971,1436476328
4956551,3112650,2387860654,1436941722
5047771,3109284,2373414973,1436305931
5082009,3116288,2373463431,1436942293
4953672,3107863,2387621153,1436838741
5059341,3107783,2373879609,1436230032
5034561,3131623,2380232229,1436629320
5003875,3098452,2377528027,1436022779
5003811,3117950,2383134688,1436936761
5083645,3107906,2375218304,1436848583
4962152,3115309,2385780981,1436434793
5043728,3103481,2375795593,1436549977
5078352,3115634,2371893453,1436254541
4953096,3104232,2388619924,1436919735
5050036,3108366,2374453548,1436424912
5029713,3119561,2381009334,1436351171
5008034,3098044,2374770084,1435307857
5006550,3122725,2380645695,1436354092
5079633,3109196,2375228668,1436866323
4963605,3113656,2386998770,1436773699
5048774,3106899,2374227851,1436400340
5082809,3121137,2374669561,1436857793
4960929,3104807,2385914322,1436185276
5047975,3107842,2375114522,1436544589
5023601,3118432,2382082499,1436474170
5010585,3099853,2378813678,1436598169
4999756,3123280,2382908879,1436875660
5075782,3107254,2373100472,1436136373
4967771,3114686,2387274612,1436858949
5046027,3112368,2375368480,1436822883
5076575,3111526,2373834006,1436441551
4973430,3113890,2386660302,1436780146
5041918,3109566,2373614353,1436053289
5023482,3121147,2382311541,1436862435
5021166,3101588,2380657284,1437175796
5001596,3119312,2382400414,1436480286
5073938,3105888,2374755446,1436629200
4969973,3114922,2384805737,1436295106
5043941,3105697,2375329276,1436728609
5070580,3113412,2374727634,1436639687
4971694,3112100,2386003060,1436367763
5044178,3111311,2375423995,1436899936
5023106,3127112,2379611247,1436213402
5018131,3100142,2380114781,1436861187
4998165,3124623,2382706162,1436879773
5073387,3108005,2374900232,1436391230
4970262,3113577,2387396307,1436935101
5054104,3109811,2373360652,1436215312
5071684,3112818,2373520781,1436478840
4972773,3111632,2385840064,1436221063
5049383,3110047,2374615521,1436519107
5015619,3122229,2382920696,1436908399
5020087,3100016,2377848840,1436206385
4997395,3123396,2382529610,1436830313
5067062,3108054,2375676303,1436803628
4968133,3111663,2386366232,1436527708
5058316,3115907,2375308057,1436940361
5074002,3114391,2372873874,1436154433
4968677,3111959,2387296013,1436921505
5053027,3112026,2375464208,1436759900
5018760,3119585,2381615263,1436498203
5023135,3107093,2377736910,1436636110
5003351,3118587,2380189901,1436130658
5059039,3106433,2375490024,1436883507
5006388,3119526,2383344296,1436530615
5015057,3098846,2376196320,1436232720
5065618,3102413,2372560153,1434963193
4966073,3109326,2384822722,1436125466
5051334,3109163,2375936934,1436858723
5017215,3123140,2382668257,1436850440
5020841,3097945,2379604884,1436562100
5011649,3129660,2383123633,1437015422
5054957,3102844,2370128033,1436176127
5029035,3122069,2382114288,1436675833
4994518,3109188,2376847627,1436496050
5064564,3106498,2372915791,1436462169
4964774,3111770,2387388216,1436915608
5056121,3107163,2374093788,1436083052
5014036,3120497,2383032533,1436851073
5020844,3098350,2380203416,1436705260
5013022,3127014,2380835673,1436363997
5057599,3103509,2375395133,1436682325
5126784,3158540,2376096757,1435977067
4908107,3074242,2381354378,1436867588
5067862,3113758,2375478235,1436617006
5020868,3119405,2382545235,1436480507
5005882,3106669,2377283846,1436640866
5011584,3122273,2379919697,1436103511
5018317,3095228,2380720081,1436795465
5014980,3125389,2381995795,1436496999
5059100,3103968,2375192995,1436303012
5121513,3148892,2376822649,1436909285
4906830,3081550,2382458041,1436106607
5059060,3109520,2375821693,1436883080
5040473,3125563,2382206757,1436885542
4993266,3100441,2379376570,1436360127
5013592,3125464,2382696716,1436939708
5086534,3110041,2373343430,1436203767
4959404,3115853,2385840361,1436433657
