category,ssd-train-vgg-gpu,ntail-xapian
runtime,27.03528666496277,36.75258708000183
llc_references,37977362.5203252,140495914.4099379
llc_misses,7175756.260162601,23684848.260869566
instructions,622253894.593496,3130709052.9813666
cycles,1146018697.8455284,3984345369.3167706
gpu_core_util,259.1869918699187,195.86956521739128
gpu_core_freq,6500.0,6500.0
gpu_emc_util,88.57723577235772,75.90062111801242
gpu_emc_freq,9330.0,9330.0
