category,ssd-eval-vgg-gpu-medium,ssd-train-vgg-cpu
runtime,95.0001277923584,457.2843942642212
llc_references,63473007.59299781,67197816.36811464
llc_misses,3964681.170678337,3313407.536945813
instructions,505946831.14879656,4267704024.1088223
cycles,1305980790.3391685,3429673583.3922977
gpu_core_util,188.6214442013129,39.787281683833406
gpu_core_freq,6500.0,6500.0
gpu_emc_util,38.205689277899346,9.626063591580834
gpu_emc_freq,9330.0,9330.0
